Container: container_1649687236961_0265_01_000006 on dbg12:42025
LogAggregationType: LOCAL
================================================================
LogType:syslog_attempt_1649687236961_0265_1_05_000003_0
LogLastModifiedTime:Sat Apr 23 13:32:47 +0800 2022
LogLength:176115
LogContents:
2022-04-23 13:32:32,760 [INFO] [main] |metrics.TaskCounterUpdater|: Using ResourceCalculatorProcessTree : org.apache.tez.util.TezMxBeanResourceCalculator
2022-04-23 13:32:32,789 [INFO] [TezChild] |resources.WeightedScalingMemoryDistributor|: Scaling Requests. NumRequests: 6, numScaledRequests: 39, TotalRequested: 432098036864, TotalRequestedScaled: 1.3168127104984616E11, TotalJVMHeap: 305345331200, TotalAvailable: 186260648392, TotalRequested/TotalJVMHeap:1.42
2022-04-23 13:32:32,789 [INFO] [TezChild] |resources.MemoryDistributor|: Allocations=[Map 7:org.apache.tez.runtime.library.input.UnorderedKVInput:INPUT:1503238528:54520570], [Map 6:org.apache.tez.runtime.library.input.UnorderedKVInput:INPUT:1503238528:54520570], [Map 8:org.apache.tez.runtime.library.input.UnorderedKVInput:INPUT:1503238528:54520570], [Map 1:org.apache.tez.runtime.library.input.OrderedGroupedKVInput:INPUT:213741731840:93025725020], [Map 5:org.apache.tez.runtime.library.input.OrderedGroupedKVInput:INPUT:213741731840:93025725020], [Reducer 3:org.apache.tez.runtime.library.output.OrderedPartitionedKVOutput:OUTPUT:104857600:45636639]
2022-04-23 13:32:32,789 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Starting Inputs/Outputs
2022-04-23 13:32:32,789 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Input: Map 8 being auto started by the framework. Subsequent instances will not be auto-started
2022-04-23 13:32:32,790 [INFO] [I/O Setup 1 Start: {Map 8}] |impl.SimpleFetchedInputAllocator|: Map_8: RequestedMemory=1503238528, AssignedMemory=54520570, maxSingleShuffleLimit=13630142
2022-04-23 13:32:32,791 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Input: Map 6 being auto started by the framework. Subsequent instances will not be auto-started
2022-04-23 13:32:32,791 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Input: Map 1 being auto started by the framework. Subsequent instances will not be auto-started
2022-04-23 13:32:32,792 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Input: Map 7 being auto started by the framework. Subsequent instances will not be auto-started
2022-04-23 13:32:32,792 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Input: Map 5 being auto started by the framework. Subsequent instances will not be auto-started
2022-04-23 13:32:32,792 [INFO] [I/O Setup 3 Start: {Map 6}] |impl.SimpleFetchedInputAllocator|: Map_6: RequestedMemory=1503238528, AssignedMemory=54520570, maxSingleShuffleLimit=13630142
2022-04-23 13:32:32,792 [INFO] [I/O Setup 2 Start: {Map 7}] |impl.SimpleFetchedInputAllocator|: Map_7: RequestedMemory=1503238528, AssignedMemory=54520570, maxSingleShuffleLimit=13630142
2022-04-23 13:32:32,792 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Num IOs determined for AutoStart: 5
2022-04-23 13:32:32,793 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Waiting for 5 IOs to start
2022-04-23 13:32:32,793 [INFO] [I/O Setup 0 Start: {Map 1}] |orderedgrouped.Shuffle|: Map_1: Shuffle assigned with 19 inputs, codec: None, ifileReadAhead: true
2022-04-23 13:32:32,793 [INFO] [I/O Setup 4 Start: {Map 5}] |orderedgrouped.Shuffle|: Map_5: Shuffle assigned with 2 inputs, codec: None, ifileReadAhead: true
2022-04-23 13:32:32,793 [INFO] [I/O Setup 0 Start: {Map 1}] |orderedgrouped.Shuffle|: Fang: starting shuffle fetch data from Map_1 at time: 6111448923461117 ns
2022-04-23 13:32:32,794 [INFO] [I/O Setup 4 Start: {Map 5}] |orderedgrouped.Shuffle|: Fang: starting shuffle fetch data from Map_5 at time: 6111448923502506 ns
2022-04-23 13:32:32,797 [INFO] [I/O Setup 2 Start: {Map 7}] |impl.ShuffleManager|: Fang: starting shuffle fetch data from Map_7 at time: 6111448926777339 ns
2022-04-23 13:32:32,797 [INFO] [I/O Setup 3 Start: {Map 6}] |impl.ShuffleManager|: Fang: starting shuffle fetch data from Map_6 at time: 6111448926778371 ns
2022-04-23 13:32:32,797 [INFO] [I/O Setup 1 Start: {Map 8}] |impl.ShuffleManager|: Fang: starting shuffle fetch data from Map_8 at time: 6111448926777406 ns
2022-04-23 13:32:32,799 [INFO] [I/O Setup 0 Start: {Map 1}] |orderedgrouped.MergeManager|: Map 1: MergerManager: memoryLimit=93025725020, maxSingleShuffleLimit=2147483648, mergeThreshold=61396979712, ioSortFactor=10, postMergeMem=0, memToMemMergeOutputsThreshold=10
2022-04-23 13:32:32,799 [INFO] [I/O Setup 4 Start: {Map 5}] |orderedgrouped.MergeManager|: Map 5: MergerManager: memoryLimit=93025725020, maxSingleShuffleLimit=2147483648, mergeThreshold=61396979712, ioSortFactor=10, postMergeMem=0, memToMemMergeOutputsThreshold=10
2022-04-23 13:32:32,869 [INFO] [TaskHeartbeatThread] |task.TaskReporter|: Routing events from heartbeat response to task, currentTaskAttemptId=attempt_1649687236961_0265_1_05_000003_0, eventCount=2 fromEventId=12 nextFromEventId=14
2022-04-23 13:32:32,882 [INFO] [I/O Setup 0 Start: {Map 1}] |orderedgrouped.ShuffleScheduler|: ShuffleScheduler running for sourceVertex: Map 1 with configuration: maxFetchFailuresBeforeReporting=5, reportReadErrorImmediately=true, maxFailedUniqueFetches=5, abortFailureLimit=15, maxTaskOutputAtOnce=20, numFetchers=5, hostFailureFraction=0.2, minFailurePerHost=4, maxAllowedFailedFetchFraction=0.5, maxStallTimeFraction=0.5, minReqProgressFraction=0.5, checkFailedFetchSinceLastCompletion=true
2022-04-23 13:32:32,882 [INFO] [I/O Setup 4 Start: {Map 5}] |orderedgrouped.ShuffleScheduler|: ShuffleScheduler running for sourceVertex: Map 5 with configuration: maxFetchFailuresBeforeReporting=5, reportReadErrorImmediately=true, maxFailedUniqueFetches=2, abortFailureLimit=15, maxTaskOutputAtOnce=20, numFetchers=2, hostFailureFraction=0.2, minFailurePerHost=4, maxAllowedFailedFetchFraction=0.5, maxStallTimeFraction=0.5, minReqProgressFraction=0.5, checkFailedFetchSinceLastCompletion=true
2022-04-23 13:32:32,886 [INFO] [I/O Setup 1 Start: {Map 8}] |impl.ShuffleManager|: Map_8: numInputs=1, compressionCodec=NoCompressionCodec, numFetchers=1, ifileBufferSize=4096, ifileReadAheadEnabled=true, ifileReadAheadLength=4194304, localDiskFetchEnabled=true, sharedFetchEnabled=false, keepAlive=false, keepAliveMaxConnections=20, connectionTimeout=180000, readTimeout=180000, bufferSize=8192, sslShuffle=false, maxTaskOutputAtOnce=20
2022-04-23 13:32:32,886 [INFO] [I/O Setup 2 Start: {Map 7}] |impl.ShuffleManager|: Map_7: numInputs=1, compressionCodec=NoCompressionCodec, numFetchers=1, ifileBufferSize=4096, ifileReadAheadEnabled=true, ifileReadAheadLength=4194304, localDiskFetchEnabled=true, sharedFetchEnabled=false, keepAlive=false, keepAliveMaxConnections=20, connectionTimeout=180000, readTimeout=180000, bufferSize=8192, sslShuffle=false, maxTaskOutputAtOnce=20
2022-04-23 13:32:32,886 [INFO] [I/O Setup 3 Start: {Map 6}] |impl.ShuffleManager|: Map_6: numInputs=1, compressionCodec=NoCompressionCodec, numFetchers=1, ifileBufferSize=4096, ifileReadAheadEnabled=true, ifileReadAheadLength=4194304, localDiskFetchEnabled=true, sharedFetchEnabled=false, keepAlive=false, keepAliveMaxConnections=20, connectionTimeout=180000, readTimeout=180000, bufferSize=8192, sslShuffle=false, maxTaskOutputAtOnce=20
2022-04-23 13:32:32,888 [INFO] [ShuffleAndMergeRunner {Map_1}] |orderedgrouped.MergeManager|: Setting merger's parent thread to ShuffleAndMergeRunner {Map_1}
2022-04-23 13:32:32,888 [INFO] [ShuffleAndMergeRunner {Map_5}] |orderedgrouped.MergeManager|: Setting merger's parent thread to ShuffleAndMergeRunner {Map_5}
2022-04-23 13:32:32,888 [INFO] [I/O Setup 4 Start: {Map 5}] |runtime.LogicalIOProcessorRuntimeTask|: Started Input with src edge: Map 5
2022-04-23 13:32:32,888 [INFO] [I/O Setup 0 Start: {Map 1}] |runtime.LogicalIOProcessorRuntimeTask|: Started Input with src edge: Map 1
2022-04-23 13:32:32,889 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Waiting for 4 IOs to start
2022-04-23 13:32:32,889 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Waiting for 3 IOs to start
2022-04-23 13:32:32,889 [INFO] [I/O Setup 2 Start: {Map 7}] |runtime.LogicalIOProcessorRuntimeTask|: Started Input with src edge: Map 7
2022-04-23 13:32:32,889 [INFO] [I/O Setup 1 Start: {Map 8}] |runtime.LogicalIOProcessorRuntimeTask|: Started Input with src edge: Map 8
2022-04-23 13:32:32,889 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Waiting for 2 IOs to start
2022-04-23 13:32:32,889 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: Waiting for 1 IOs to start
2022-04-23 13:32:32,890 [INFO] [I/O Setup 3 Start: {Map 6}] |runtime.LogicalIOProcessorRuntimeTask|: Started Input with src edge: Map 6
2022-04-23 13:32:32,890 [INFO] [TezChild] |runtime.LogicalIOProcessorRuntimeTask|: AutoStartComplete
2022-04-23 13:32:32,890 [INFO] [TezChild] |task.TaskRunner2Callable|: Running task, taskAttemptId=attempt_1649687236961_0265_1_05_000003_0
2022-04-23 13:32:32,894 [INFO] [TezTaskEventRouter{attempt_1649687236961_0265_1_05_000003_0}] |impl.ShuffleInputEventHandlerImpl|: Map 8: numDmeEventsSeen=1, numDmeEventsSeenWithNoData=0, numObsoletionEventsSeen=0
2022-04-23 13:32:32,894 [INFO] [TezTaskEventRouter{attempt_1649687236961_0265_1_05_000003_0}] |impl.ShuffleInputEventHandlerImpl|: Map 6: numDmeEventsSeen=1, numDmeEventsSeenWithNoData=0, numObsoletionEventsSeen=0
2022-04-23 13:32:32,894 [INFO] [TezTaskEventRouter{attempt_1649687236961_0265_1_05_000003_0}] |impl.ShuffleInputEventHandlerImpl|: Map 7: numDmeEventsSeen=1, numDmeEventsSeenWithNoData=0, numObsoletionEventsSeen=0
2022-04-23 13:32:32,897 [INFO] [TezTaskEventRouter{attempt_1649687236961_0265_1_05_000003_0}] |orderedgrouped.ShuffleInputEventHandlerOrderedGrouped|: Map 5: numDmeEventsSeen=1, numDmeEventsSeenWithNoData=0, numObsoletionEventsSeen=0
2022-04-23 13:32:32,898 [INFO] [TezChild] |sasl.SaslDataTransferClient|: SASL encryption trust check: localHostTrusted = false, remoteHostTrusted = false
2022-04-23 13:32:32,904 [INFO] [TezChild] |exec.Utilities|: PLAN PATH = hdfs://dbg11:9000/tmp/hive/hive/80252de8-7b52-4340-a410-4474795c9789/hive_2022-04-23_05-31-40_486_5761360731520672876-1/hive/_tez_scratch_dir/29b5ab94-50c6-4639-aee8-0fce7205a56c/reduce.xml
2022-04-23 13:32:32,906 [INFO] [TezChild] |exec.SerializationUtilities|: Deserializing ReduceWork using kryo
2022-04-23 13:32:32,908 [INFO] [TezTaskEventRouter{attempt_1649687236961_0265_1_05_000003_0}] |orderedgrouped.ShuffleInputEventHandlerOrderedGrouped|: Map 1: numDmeEventsSeen=1, numDmeEventsSeenWithNoData=0, numObsoletionEventsSeen=0
2022-04-23 13:32:32,912 [INFO] [Fetcher_O {Map_5} #0] |orderedgrouped.MergeManager|: close onDiskFile. State: NumOnDiskFiles=1. Current: path=/home/hive/hadoop-fs/tmp/nm-local-dir/usercache/hive/appcache/application_1649687236961_0265/output/attempt_1649687236961_0265_1_01_000001_0_10003/file.out, len=45573
2022-04-23 13:32:32,914 [INFO] [Fetcher_O {Map_5} #0] |ShuffleScheduler.fetch|: Completed fetch for attempt: {1, 0, attempt_1649687236961_0265_1_01_000001_0_10003} to DISK_DIRECT, csize=45573, dsize=45569, EndTime=1650691952914, TimeTaken=4, Rate=10.86 MB/s
2022-04-23 13:32:32,914 [INFO] [Fetcher_O {Map_5} #0] |orderedgrouped.ShuffleScheduler|: copy(1 (spillsFetched=1) of 2. Transfer rate (CumulativeDataFetched/TimeSinceInputStarted)) 0.04 MB/s)
2022-04-23 13:32:32,916 [INFO] [Fetcher_O {Map_1} #0] |orderedgrouped.MergeManager|: close onDiskFile. State: NumOnDiskFiles=1. Current: path=/home/hive/hadoop-fs/tmp/nm-local-dir/usercache/hive/appcache/application_1649687236961_0265/output/attempt_1649687236961_0265_1_04_000017_0_10006/file.out, len=3301821
2022-04-23 13:32:32,917 [INFO] [Fetcher_O {Map_1} #0] |ShuffleScheduler.fetch|: Completed fetch for attempt: {17, 0, attempt_1649687236961_0265_1_04_000017_0_10006} to DISK_DIRECT, csize=3301821, dsize=3301817, EndTime=1650691952917, TimeTaken=7, Rate=449.83 MB/s
2022-04-23 13:32:32,917 [INFO] [Fetcher_O {Map_1} #0] |orderedgrouped.ShuffleScheduler|: copy(1 (spillsFetched=1) of 19. Transfer rate (CumulativeDataFetched/TimeSinceInputStarted)) 3.15 MB/s)
2022-04-23 13:32:32,919 [INFO] [Fetcher_O {Map_1} #0] |ShuffleScheduler.fetch|: Completed fetch for attempt: {15, 0, attempt_1649687236961_0265_1_04_000015_0_10006} to DISK_DIRECT, csize=3300649, dsize=3300645, EndTime=1650691952919, TimeTaken=2, Rate=1573.87 MB/s
2022-04-23 13:32:32,921 [INFO] [Fetcher_O {Map_5} #1] |ShuffleScheduler.fetch|: Completed fetch for attempt: {0, 0, attempt_1649687236961_0265_1_01_000000_0_10003} to DISK_DIRECT, csize=114326, dsize=114322, EndTime=1650691952921, TimeTaken=3, Rate=36.34 MB/s
2022-04-23 13:32:32,921 [INFO] [Fetcher_O {Map_5} #1] |orderedgrouped.ShuffleScheduler|: All inputs fetched for input vertex : Map 5
2022-04-23 13:32:32,921 [INFO] [Fetcher_O {Map_5} #1] |orderedgrouped.ShuffleScheduler|: copy(2 (spillsFetched=2) of 2. Transfer rate (CumulativeDataFetched/TimeSinceInputStarted)) 0.15 MB/s)
2022-04-23 13:32:32,921 [INFO] [ShuffleAndMergeRunner {Map_5}] |orderedgrouped.ShuffleScheduler|: Shutting down FetchScheduler for input: Map_5, wasInterrupted=false
2022-04-23 13:32:32,922 [INFO] [ShuffleAndMergeRunner {Map_5}] |orderedgrouped.ShuffleScheduler|: copy(2 (spillsFetched=2) of 2. Transfer rate (CumulativeDataFetched/TimeSinceInputStarted)) 0.15 MB/s)
2022-04-23 13:32:32,923 [INFO] [ShuffleAndMergeRunner {Map_5}] |orderedgrouped.ShuffleScheduler|: Shutting down fetchers for input: Map_5, shutdown timetaken: 0 ms, hasFetcherExecutorStopped: true
2022-04-23 13:32:32,923 [INFO] [Fetcher_B {Map_6} #0] |ShuffleManager.fetch|: Completed fetch for attempt: {0, 0, attempt_1649687236961_0265_1_03_000000_0_10002} to DISK_DIRECT, csize=12752, dsize=12748, EndTime=1650691952923, TimeTaken=10, Rate=1.21 MB/s
2022-04-23 13:32:32,923 [INFO] [Fetcher_B {Map_7} #0] |ShuffleManager.fetch|: Completed fetch for attempt: {0, 0, attempt_1649687236961_0265_1_02_000000_0_10003} to DISK_DIRECT, csize=10945, dsize=10941, EndTime=1650691952923, TimeTaken=10, Rate=1.04 MB/s
2022-04-23 13:32:32,923 [INFO] [Fetcher_B {Map_6} #0] |impl.ShuffleManager|: All inputs fetched for input vertex : Map 6
2022-04-23 13:32:32,923 [INFO] [Fetcher_B {Map_7} #0] |impl.ShuffleManager|: All inputs fetched for input vertex : Map 7
2022-04-23 13:32:32,923 [INFO] [Fetcher_B {Map_6} #0] |impl.ShuffleManager|: copy(1 (spillsFetched=1) of 1. Transfer rate (CumulativeDataFetched/TimeSinceInputStarted)) 0.01 MB/s)
2022-04-23 13:32:32,923 [INFO] [Fetcher_B {Map_7} #0] |impl.ShuffleManager|: copy(1 (spillsFetched=1) of 1. Transfer rate (CumulativeDataFetched/TimeSinceInputStarted)) 0.01 MB/s)
2022-04-23 13:32:32,923 [INFO] [ShuffleAndMergeRunner {Map_5}] |orderedgrouped.MergeManager|: finalMerge with #inMemoryOutputs=0, size=0 and #onDiskOutputs=2, size=159899
2022-04-23 13:32:32,923 [INFO] [Fetcher_O {Map_1} #3] |ShuffleScheduler.fetch|: Completed fetch for attempt: {11, 0, attempt_1649687236961_0265_1_04_000011_0_10005} to DISK_DIRECT, csize=6171520, dsize=6171516, EndTime=1650691952923, TimeTaken=2, Rate=2942.81 MB/s
2022-04-23 13:32:32,923 [INFO] [ShuffleRunner {Map_7}] |impl.ShuffleManager|: Map_7: Shutting down FetchScheduler, Was Interrupted: false
2022-04-23 13:32:32,923 [INFO] [ShuffleRunner {Map_6}] |impl.ShuffleManager|: Map_6: Shutting down FetchScheduler, Was Interrupted: false
2022-04-23 13:32:32,924 [INFO] [ShuffleRunner {Map_6}] |impl.ShuffleManager|: Map_6: Scheduler thread completed
2022-04-23 13:32:32,924 [INFO] [ShuffleRunner {Map_7}] |impl.ShuffleManager|: Map_7: Scheduler thread completed
2022-04-23 13:32:32,924 [INFO] [ShuffleRunner {Map_6}] |impl.ShuffleManager|: Fang: ending shuffle fetch data from Map_6 at time: 6111449053657398 ns and take time: 126.86557 ms
2022-04-23 13:32:32,924 [INFO] [ShuffleRunner {Map_7}] |impl.ShuffleManager|: Fang: ending shuffle fetch data from Map_7 at time: 6111449053687415 ns and take time: 126.908485 ms
2022-04-23 13:32:32,924 [INFO] [Fetcher_O {Map_1} #3] |ShuffleScheduler.fetch|: Completed fetch for attempt: {13, 0, attempt_1649687236961_0265_1_04_000013_0_10006} to DISK_DIRECT, csize=6176820, dsize=6176816, EndTime=1650691952924, TimeTaken=1, Rate=5890.67 MB/s
2022-04-23 13:32:32,926 [INFO] [Fetcher_O {Map_1} #3] |ShuffleScheduler.fetch|: Completed fetch for attempt: {16, 0, attempt_1649687236961_0265_1_04_000016_0_10009} to DISK_DIRECT, csize=3299026, dsize=3299022, EndTime=1650691952926, TimeTaken=2, Rate=1573.09 MB/s
2022-04-23 13:32:32,947 [INFO] [Fetcher_O {Map_1} #2] |HttpConnection.url|: for url=http://dbg14:23562/mapOutput?job=job_1649687236961_0265&dag=1&reduce=3&map=attempt_1649687236961_0265_1_04_000012_0_10006 sent hash and receievd reply 0 ms
2022-04-23 13:32:32,950 [INFO] [Fetcher_O {Map_1} #1] |HttpConnection.url|: for url=http://dbg11:23562/mapOutput?job=job_1649687236961_0265&dag=1&reduce=3&map=attempt_1649687236961_0265_1_04_000009_0_10003 sent hash and receievd reply 0 ms
2022-04-23 13:32:32,950 [INFO] [Fetcher_B {Map_8} #0] |HttpConnection.url|: for url=http://dbg14:23562/mapOutput?job=job_1649687236961_0265&dag=1&reduce=0&map=attempt_1649687236961_0265_1_00_000000_0_10003 sent hash and receievd reply 0 ms
2022-04-23 13:32:32,951 [INFO] [ShuffleAndMergeRunner {Map_5}] |orderedgrouped.Shuffle|: merge complete for input vertex : Map_5
2022-04-23 13:32:32,951 [INFO] [ShuffleAndMergeRunner {Map_5}] |orderedgrouped.Shuffle|: Map_5: Shuffle Runner thread complete
2022-04-23 13:32:32,951 [INFO] [ShuffleAndMergeRunner {Map_5}] |orderedgrouped.Shuffle|: Fang: ending shuffle fetch data from Map_5 at time: 6111449081102087 ns and take time: 157.779788 ms
2022-04-23 13:32:33,011 [INFO] [TezChild] |exec.Utilities|: Deserialized plan (via RPC) - name: Reducer 2 size: 4.33KB
2022-04-23 13:32:33,013 [INFO] [TezChild] |tez.ReduceRecordProcessor|: Waiting for ShuffleInputs to become ready
2022-04-23 13:32:33,067 [INFO] [Fetcher_O {Map_1} #2] |orderedgrouped.MergeManager|: CloseInMemoryFile. Current state: inMemoryMapOutputs.size=1, commitMemory=0, usedMemory=12402857. Since last log: count=1, min=6203947, max=6203947, total=6203947, avg=6203947.0
2022-04-23 13:32:33,067 [INFO] [Fetcher_O {Map_1} #2] |ShuffleScheduler.fetch|: Completed fetch for attempt: {12, 0, attempt_1649687236961_0265_1_04_000012_0_10006} to MEMORY, csize=6203951, dsize=6203947, EndTime=1650691953067, TimeTaken=118, Rate=50.14 MB/s
2022-04-23 13:32:33,072 [INFO] [Fetcher_O {Map_1} #4] |HttpConnection.url|: for url=http://dbg14:23562/mapOutput?job=job_1649687236961_0265&dag=1&reduce=3&map=attempt_1649687236961_0265_1_04_000010_0_10003 sent hash and receievd reply 0 ms
2022-04-23 13:32:33,180 [INFO] [TaskHeartbeatThread] |task.TaskReporter|: Routing events from heartbeat response to task, currentTaskAttemptId=attempt_1649687236961_0265_1_05_000003_0, eventCount=1 fromEventId=14 nextFromEventId=15
2022-04-23 13:32:33,233 [INFO] [Fetcher_B {Map_8} #0] |ShuffleManager.fetch|: Completed fetch for attempt: {0, 0, attempt_1649687236961_0265_1_00_000000_0_10003} to MEMORY, csize=459843, dsize=459839, EndTime=1650691953233, TimeTaken=282, Rate=1.55 MB/s
2022-04-23 13:32:33,234 [INFO] [Fetcher_B {Map_8} #0] |impl.ShuffleManager|: All inputs fetched for input vertex : Map 8
2022-04-23 13:32:33,234 [INFO] [Fetcher_B {Map_8} #0] |impl.ShuffleManager|: copy(1 (spillsFetched=1) of 1. Transfer rate (CumulativeDataFetched/TimeSinceInputStarted)) 0.44 MB/s)
2022-04-23 13:32:33,234 [INFO] [ShuffleRunner {Map_8}] |impl.ShuffleManager|: Map_8: Shutting down FetchScheduler, Was Interrupted: false
